task id,website,serving type,task types,data path,goal,eval type,start url,evaluation,timestamp,n steps,owner,comment,
11,Zendesk,online,icon recognition,zendesk/zendesk_home.wacz,Go to the Organizations page,js_matcher,https://orby-ai.zendesk.com/agent/home/tickets,"document.querySelector(""div.StyledCol-sc-inuw62-0.bpLBzO.sc-1556ne7-6.dFcVTi > h1"").innerText === ""Organizations""",,,Cheng,,
12,Zendesk,online,dialog boxes,zendesk/zendesk_ticket.wacz,Open my profile menu on the top right,js_matcher,https://orby-ai.zendesk.com/agent/tickets/5,"document.querySelector(""#header_profile_menu_button"").getAttribute(""aria-expanded"") === ""true""",,,Cheng,"A (pure vision) agent needs to press the button on the top right corner, which means that it needs to close a dialog box about no internet connection first",
13,Zendesk,online,document editing,zendesk/zendesk_ticket.wacz,"Write ""Thank you for your business."" and bold it to reply to the customer",js_matcher,https://orby-ai.zendesk.com/agent/tickets/5,"document.querySelector(""div.sc-1g65fhz-0.dxtWiG.zendesk-editor--rich-text-container > div.sc-1ft1b2r-1.jtPeUU > div > p"").innerHTML.includes(""Thank you for your business."") && document.querySelector(""div.sc-1g65fhz-0.dxtWiG.zendesk-editor--rich-text-container > div.sc-1ft1b2r-1.jtPeUU > div > p"").innerHTML.includes(""<strong>"") && document.querySelector(""div.sc-1g65fhz-0.dxtWiG.zendesk-editor--rich-text-container > div.sc-1ft1b2r-1.jtPeUU > div > p"").innerHTML.includes(""<\strong>"")",,,Cheng,,
14,Zendesk,online,dropdown option selection,zendesk/zendesk_ticket.wacz,Change the ticket type to Task,js_matcher,https://orby-ai.zendesk.com/agent/tickets/5,"document.querySelector(""div.StyledField-sc-12gzfsu-0.iRSmTf.sc-e3l2vm-0.dzRuAP > div > div"").innerText === ""Task""",,,Cheng,"For a pure vision agent, some focused scrolling is necessary",
15,Zendesk,online,form filling,zendesk/zendesk_home.wacz,"Add a new ticket with type Question, topic Delivery, and normal priority; assign Michael S to it; add the tag ""speedup"" to it; leave everything else blank",js_matcher,https://orby-ai.zendesk.com/agent/home/tickets,"document.querySelector('div[title=""Delivery""').innerText == 'Delivery' && document.querySelector(""div.StyledTag-sc-1jvbe03-0.dtVBQv > span"").innerText=='speedup' && document.querySelector('div[title=""Michael S""').innerText == 'Michael S' && JSON.stringify(Array.from(document.querySelectorAll(""div.StyledField-sc-12gzfsu-0.iRSmTf.sc-e3l2vm-0.dzRuAP > div > div"")).map((x)=>x.innerText))==JSON.stringify(['Question', 'Normal'])
",,,Cheng,,
16,Zendesk,online,data extraction,zendesk/zendesk_home.wacz,"Compile a list of all the current open tickets as a JSON-formatted string; each ticket should be a JSON object with fields ""customer name"" and ""ticket title""",string_matcher,https://orby-ai.zendesk.com/agent/home/tickets,"[""customer name"", ""ticket title"", ""The Customer"", ""Meet the ticket"", ""Ingrid Van Dijk"", ""New delivery address"", ""Zhang Wei Xu"", ""Shipping cost"", ""Soobin Do"", ""Do I put it together"", ""How does Zendesk work"", ""Are products ethically sourced""]",,,Cheng,,
17,Zendesk,online,generic grounding,zendesk/zendesk_home.wacz,Go to the Add a New Ticket page,js_matcher,https://orby-ai.zendesk.com/agent/home/tickets,"document.querySelector(""html"").innerHTML.includes(""New ticket"")",,,Cheng,,
18,American Airlines,online,data extraction,american_airlines/american_airlines_flights.wacz,"Answer the question: what is the cheapest ticket option displayed on this page (start date July 9th, 2025)? Answer your question as a JSON dictionary with the fields ""flight_number"", ""duration"", and ""price"". The format of duration should be ""xh ym"". Do not include dollar sign in the ticket price answer.",json_matcher,https://www.aa.com/booking/choose-flights/1?sid=04d6f2c96013ced16dfcc8dee82fcc42,"{""flight_number"": ""AA 2994"", ""duration"": ""2h 44m"", ""price"": 240}",1743541551,,Cheng,,
19,American Airlines,online,pagination,american_airlines/american_airlines_flights.wacz,Go to the page for the departure date of July 15th,js_matcher,https://www.aa.com/booking/choose-flights/1?sid=04d6f2c96013ced16dfcc8dee82fcc42,"document.querySelector(""#carousel-2025-07-15"").hasAttribute(""selected"")",1743541551,,Cheng,,
20,American Airlines,online,table manipulation,american_airlines/american_airlines_flights.wacz,Sort the main cabin ticket price in descending order,js_matcher,https://www.aa.com/booking/choose-flights/1?sid=04d6f2c96013ced16dfcc8dee82fcc42,"document.querySelector(""#btn-sort-by-MAIN"").getAttribute(""class"") === ""product_group_MAIN_desc""",1743541551,,Cheng,,
21,American Airlines,online,computation,american_airlines/american_airlines_summary.wacz,How many passengers are the Total price displayed on this page for? Only provide the number as the output,string_matcher,https://www.aa.com/booking/your-trip-summary?sid=1a1fb273c0cf15b77427d49d5c91a33c,2,1743541551,,Cheng,,
22,GitHub,online,search and autocomplete,github/github_1.wacz,Make a repo-wide search for ctc,js_matcher,https://github.com/jimhalpert123/NeMo,"document.querySelector(""body > div.logged-in.env-production.page-responsive > div.application-main > main > react-app > div > div > div.Box-sc-g0xbh4-0.prc-PageLayout-PageLayoutRoot-1zlEO.Search-module__SplitPageLayout--vH5Ht > div > div > div.Box-sc-g0xbh4-0.prc-PageLayout-ContentWrapper-b-QRo.Search-module__SplitPageLayout_Content--mt9an > div.Box-sc-g0xbh4-0.prc-PageLayout-Content--F7-I > div > div > div:nth-child(1) > div > span > span.Box-sc-g0xbh4-0.fcqJJh.prc-Text-Text-0ima0 > div"").innerHTML === ""506 files """,,,Cheng,,
23,GitHub,online,data extraction,github/github_1.wacz,When did William Zhao first join GitHub? Answer in the format of MM/DD/YYYY,string_matcher,https://github.com/jimhalpert123?tab=overview&from=2024-12-01&to=2024-12-31,11/15/2024,,,Cheng,,
24,GitHub,online,dropdown option selection,github/github_1.wacz,Select neftune from the branch dropdown menu,js_matcher,https://github.com/NVIDIA/NeMo/tree/main,"document.querySelector(""#branch-picker-repos-header-ref-selector > span > span.prc-Button-Label-pTQ3x > div > div.Box-sc-g0xbh4-0.ffLUq.ref-selector-button-text-container > span"").innerHTML.includes(""neftune"")",,,Cheng,,
25,GitHub,online,dropdown option selection,github/github_1.wacz,Select noise_emb from the branch dropdown menu,js_matcher,https://github.com/NVIDIA/NeMo/tree/main,"document.querySelector(""#branch-picker-repos-header-ref-selector > span > span.prc-Button-Label-pTQ3x > div > div.Box-sc-g0xbh4-0.ffLUq.ref-selector-button-text-container > span"").innerHTML.includes(""noise_emb"")",,,Cheng,,
26,GitHub,online,search and autocomplete,github/github_1.wacz,"Find where the variable `use_pytorch_lightning` in the jimhalpert123/NeMo repo is defined and return it's file path (include directories starting from NeMo/), line number, and value. Give the answer as a comma separated list of strings, for example [""aaa"", ""bbb"", ""ccc""]. ",json_matcher,https://github.com/jimhalpert123/NeMo,"[""NeMo/nemo/deploy/deploy_base.py"", ""19"", ""True""]",,,Cheng,,
27,GitHub,online,document editing,github/github_1.wacz,"Write ""\nThis is a tool for web development.\n"" after the title in the README and italicize it.",js_matcher,https://github.com/jimhalpert123/web-tools/edit/main/README.md,"document.querySelector(""#repo-content-pjax-container > react-app > div > div > div.Box-sc-g0xbh4-0.prc-PageLayout-PageLayoutRoot-1zlEO > div > div > div.Box-sc-g0xbh4-0.prc-PageLayout-ContentWrapper-b-QRo.CodeView-module__SplitPageLayout_Content--qxR1C > div.Box-sc-g0xbh4-0.prc-PageLayout-Content--F7-I > div > div:nth-child(3) > div.Box-sc-g0xbh4-0.cvtrAK > div > div.Box-sc-g0xbh4-0.elNkLh.react-code-view-edit > file-attachment > div > div > div.cm-scroller > div.cm-content.cm-lineWrapping"").innerHTML.includes('<span class=""ͼi ͼe"">_</span><span class=""ͼi"">This is a tool for web development.</span><span class=""ͼi ͼe"">_</span>')",,5,Cheng,Need to check eval condition,
28,GitHub,online,"table manipulation, generic grounding",github/github_1.wacz,"Go to my Repository page and filter the list of repositories I have by programming languages, such that only the ones in TypeScript remain",js_matcher,https://github.com/jimhalpert123,"document.querySelector(""#user-repositories-list > div.TableObject.border-bottom.color-border-muted.py-3 > div.user-repo-search-results-summary.TableObject-item.TableObject-item--primary.v-align-top"").innerText==""1 result for repositories written in TypeScript sorted by last updated""",,3,Cheng,,
29,GitHub,online,"table manipulation, generic grounding",github/github_1.wacz,Go to the repository page and filter the list of repositories to display the one wirtten in Python and is public,js_matcher,https://github.com/jimhalpert123,"document.querySelector(""#user-repositories-list > div.TableObject.border-bottom.color-border-muted.py-3 > div.user-repo-search-results-summary.TableObject-item.TableObject-item--primary.v-align-top"").innerHTML.includes(""<strong>1</strong>"") && document.querySelector(""#user-repositories-list > div.TableObject.border-bottom.color-border-muted.py-3 > div.user-repo-search-results-summary.TableObject-item.TableObject-item--primary.v-align-top"").innerHTML.includes(""<strong>public</strong>"") && document.querySelector(""#user-repositories-list > div.TableObject.border-bottom.color-border-muted.py-3 > div.user-repo-search-results-summary.TableObject-item.TableObject-item--primary.v-align-top"").innerHTML.includes(""<strong>Python</strong>"")",,5,Cheng,Cannot recreate this task,
30,GitHub,online,"data extraction, generic grounding",github/github_1.wacz,"Are there any of my repositories with MIT License? If so, return the name(s) in a comma-separated list of strings, for example: [""repo1"", ""repo2""]",json_matcher,https://github.com/jimhalpert123,"[""web-tools"", ""Next-js-Boilerplate""]",,2,Cheng,,
31,GitHub,online,list navigation,github/github_2.wacz,Click on project-one in the left menu,url_matcher,https://github.com/,https://github.com/jimhalpert123/project-one,,2,Cheng,,
32,GitHub,online,list navigation,github/github_2.wacz,Find 0000_snapshot.json in the migrations folder displayed on the left. Only click the down arrows to interact with the directory menu.,js_matcher,https://github.com/jimhalpert123/Next-js-Boilerplate/tree/main/src,"document.querySelector(""#\\:r59\\: > span"").innerHTML.includes(""0000_snapshot.json"")",,2,Cheng,Eval needs to rerecord to allow clicking migrations instead of just the side arrow,
33,GitHub,online,icon recognition,github/github_2.wacz,"Copy the full SHA of the commit ""chore: update dependencies to the latest version"" and only generate the SHA string as the output.",string_matcher,https://github.com/jimhalpert123/Next-js-Boilerplate/commits/main/migrations/meta/0000_snapshot.json,a3eb1fc1aac543506f299d850b1315581b0d46ce,,2,Cheng,,
34,GitHub,online,dropdown option selection,github/github_2.wacz,Display only the commits made by me for 0000_snapshot.json,js_matcher,https://github.com/jimhalpert123/Next-js-Boilerplate/commits/main/migrations/meta/0000_snapshot.json,"document.querySelector(""#\\:R1crab\\: > span.prc-Button-ButtonContent-HKbr- > span > div > div.Box-sc-g0xbh4-0.dGVxWp"").innerHTML.includes(""jimhalpert123"")",,2,Cheng,,
35,GitHub,online,form filling,github/github_2.wacz,Add a readme to my new repository,js_matcher,https://github.com/new,"document.querySelector(""#\\:rm\\:"").getAttribute(""aria-checked"") === ""true""",,1,Cheng,,
36,GitHub,online,form filling,github/github_2.wacz,Mark my new repo as private,js_matcher,https://github.com/new,"document.querySelector(""#\\:rk\\:"").getAttribute(""aria-checked"") === ""true""",,1,Cheng,,
37,GitHub,online,"form filling, search and autocomplete",github/github_2.wacz,Add a C++ .gitignore template,js_matcher,https://github.com/new,"document.querySelector(""#\\:rq\\: > span.prc-Button-ButtonContent-HKbr- > span"").innerHTML.includes(""C++"")",,4,Cheng,,
38,GitHub,online,form filling,github/github_2.wacz,Add the highest version of GNU license available to this new repo,js_matcher,https://github.com/new,"document.querySelector(""#\\:rv\\: > span.prc-Button-ButtonContent-HKbr- > span"").innerHTML.includes(""GNU General Public License v3.0"")",,4,Cheng,,
39,GitHub,online,"icon recognition, generic grounding",github/github_2.wacz,Go to my repository page and click on more Star options for the jimhalpert123 repository,js_matcher,https://github.com/jimhalpert123,"document.querySelector(""#details-user-list-894774357-unstarred"").open",,2,Cheng,,
40,Kaiser,online,menu navigation,kaiser/enter_zipcode.wacz,Open the page to shop for health insurance plans provided by Kaiser,js_matcher,https://healthy.kaiserpermanente.org/northern-california/front-door,"document.querySelector(""#servicearea-component2 > div > div.service-area-box.section.left > div.h2"").innerText == ""Enter your ZIP code""",,,Manpreet,,
41,Kaiser,online,form filling,kaiser/enter_zipcode.wacz,Enter Zipcode 94040 and submit the form,js_matcher,https://healthy.kaiserpermanente.org/northern-california/shop-plans,"document.querySelector(""#employerCoverageComponent > div.midContainer.margin-bottom-2u > div.teaserContainer > app-doctors-locations-card > div > div > div > div:nth-child(1) > div:nth-child(1) > span.h2.doctors-count"").innerText == 78 && document.querySelector(""#employerCoverageComponent > div.midContainer.margin-bottom-2u > div.teaserContainer > app-doctors-locations-card > div > div > div > div:nth-child(1) > div:nth-child(2) > span.h2.facilities-count"").innerText == 1458",,,Manpreet,,
42,Kaiser,online,dropdown option selection,kaiser/enter_zipcode.wacz,"Enter Zipcode 94128, submit the form and select San Francisco when the dropdown list appears and submit the form again",js_matcher,https://healthy.kaiserpermanente.org/northern-california/shop-plans,"document.querySelector(""#employerCoverageComponent > div.midContainer.margin-bottom-2u > div.teaserContainer > app-doctors-locations-card > div > div > div > div:nth-child(1) > div:nth-child(1) > span.h2.doctors-count"").innerText == 60 && document.querySelector(""#employerCoverageComponent > div.midContainer.margin-bottom-2u > div.teaserContainer > app-doctors-locations-card > div > div > div > div:nth-child(1) > div:nth-child(2) > span.h2.facilities-count"").innerText == 656",,,Manpreet,,
43,SJPD,online,menu navigation,sjpd/crime_stats.wacz,Go to the Crime Statistics page under Records section.,url_matcher,https://www.sjpd.org/,https://www.sjpd.org/records/crime-stats-maps/crime-statistics,,,Manpreet,Eval needs to rerecord the Records page to allow a click,
44,SJPD,online,data extraction,sjpd/crime_stats.wacz,"What is the total number of crimes committed against people and property in the month of February, 2025? Give the answer in JSON format with keys ""num_crimes_against_people"" and ""num_crimes_against_property""",json_matcher,https://www.sjpd.org/records/crime-stats-maps/crime-statistics,"{""num_crimes_against_people"": 1105, ""num_crimes_against_property"": 2913}",,,Manpreet,,
45,SJPD,online,"menu navigation, list navigation, data extraction",sjpd/crime_stats.wacz,"What were the total number of property crimes and property crime rate per 100000 population commited in year 2020? Give the answer in JSON format with the keys ""total_crimes"" and ""crime_rate_per_100000"". Do not include any commas in the values.",json_matcher,https://www.sjpd.org/records/crime-stats-maps/crime-statistics,"{""total_crimes"": 23847, ""crime_rate_per_100000"": 2272.9}",,,Manrpeet,,
46,SJPD,online,"list navigation, data extraction",sjpd/crime_stats.wacz,"Find the phone number of SJPD tow assistance line to inquire about the status of a towed vehicle. The phone number should follow format ""xxx-xxx-xxxx"" where x is a digit",string_matcher,https://www.sjpd.org/records/crime-stats-maps/crime-statistics,408-277-4263,,,Manpreet,,
47,SJPD,online,"computation, data extraction",sjpd/crime_stats.wacz,"Find the total towing fee for a car that has been towed overnight for 4 hours. Give the answer as a JSON string with key ""total_tow_fee"" and just the integer value of fee (no $ or cents)",json_matcher,https://www.sjpd.org/about-us/organization/bureau-of-field-operations/traffic-enforcement-unit/towed-vehicle-information,"{""total_tow_fee"":  657}",,,Manpreet,,
48,SFUSD,online,menu navigation,sfusd/school_finder.wacz,Open the school directory,js_matcher,https://www.sfusd.edu/,"document.querySelector(""#hero > div.hero_header > h1"").innerText == ""Directory of Schools""",,,Manpreet,,
49,SFUSD,online,pagination,sfusd/school_finder.wacz,Open the 4th page of the school directory,url_matcher,https://www.sfusd.edu/schools/directory,https://www.sfusd.edu/schools/directory?page=3,,,Manpreet,,
50,SFUSD,online,search and autocomplete,sfusd/school_finder.wacz,"Search for the ""Rosa Parks"" school using the searchbar on the school directory page",url_matcher,https://www.sfusd.edu/schools/directory,https://www.sfusd.edu/schools/directory?field_schoolname_value=rosa+parks,,,Manpreet,,
51,SFUSD,online,data extraction,sfusd/school_finder.wacz,"What's the address and phone number of the Rosa Parks Elementary school? Return the answer as a JSON dictionary with keys ""address"" and ""phone_number"". The address should be a comma separated string containing the street name, city name, state name and zipcode. The phone number should be a string with format ""xxx-xxx-xxxx"", where x is a digit.",json_matcher,https://www.sfusd.edu/schools/directory?field_schoolname_value=rosa+parks,"{""address"": ""1501 O'Farrell Street, San Francisco, California, 94115"", ""phone_number"": ""415-749-3519""}",,,Manpreet,,
52,SFUSD,online,menu navigation,sfusd/school_finder.wacz,Navigate to the School Finder Page,url_matcher,https://www.sfusd.edu/schools/directory,https://www.sfusd.edu/schools/enroll/discover/school-finder,,,Manpreet,,
53,SFUSD,online,"dropdown option selection, form filling",sfusd/school_finder.wacz,"Set the following filters on the School Finder Page - Grade 5, Start Time: 7:50AM, Special Education - Autism, Before School Program - Checked, After School Program - Checked",js_matcher,https://www.sfusd.edu/schools/enroll/discover/school-finder,"document.querySelector(""#wrapper > div.table-scroll > table > thead > tr > th:nth-child(1) > h3 > a"").innerText == ""Starr King Elementary School"" && document.querySelector(""#wrapper > div.table-scroll > table > thead > tr > th:nth-child(2) > h3 > a"").innerText == ""Alamo Elementary School""",,,Manpreet,,
54,Netsuite Samsara,online,menu navigation,netsuite_samsara/netsuite_samsara_billing.wacz,Open the billings page,url_matcher,https://4146860-sb1.app.netsuite.com/app/accounting/transactions/billingworkcenter/billrunresult.nl?id=868449,https://4146860-sb1.app.netsuite.com/app/center/card.nl?sc=-100&whence=,,,Sanjari,Not OSSable,
55,Netsuite Samsara,online,generic grounding,netsuite_samsara/netsuite_samsara_billing.wacz,"Expand the sections Customer Saved searches, Sales and Billing Operations one by one. Do not click the Expand All button directly.",js_matcher,https://4146860-sb1.app.netsuite.com/app/center/card.nl?sc=-100&whence=," document.querySelector('div[data-task-id=""-20304""').getAttribute('data-expanded')== 'true' &&  document.querySelector('div[data-task-id=""-20305""').getAttribute('data-expanded') == 'true' &&  document.querySelector('div[data-task-id=""-20307""').getAttribute('data-expanded')=='true'",,,Sanjari,Not OSSable,The agent can also cheat by clicking all the individual sections
56,Netsuite Samsara,online,data extraction,netsuite_samsara/netsuite_samsara_billing.wacz,Extract the Date/Time and format it as [DD:MM:YYYY|hh:mm a/pm]. Include the braces.,string_matcher,https://4146860-sb1.app.netsuite.com/app/accounting/transactions/billingworkcenter/billrunresult.nl?id=868449,[11:03:2025|08:00 am],,,Sanjari,Not OSSable,
57,Netsuite Samsara,online,data extraction,netsuite_samsara/netsuite_samsara_billing.wacz,Extract the Historical Name. Only extract the text and nothing else,string_matcher,https://4146860-sb1.app.netsuite.com/app/accounting/transactions/billingworkcenter/billrunresult.nl?id=868449,NS ACS | Billing Operation Sched - 5 Days(2) - MX,,,Sanjari,Not OSSable,
58,Netsuite Samsara,online,data extraction,netsuite_samsara/netsuite_samsara_billing.wacz,Extract the Description. Only extract the text and nothing else,string_matcher,https://4146860-sb1.app.netsuite.com/app/accounting/transactions/billingworkcenter/billrunresult.nl?id=868449,Billing schedule for 5 day customers for MX subsidiary,,,Sanjari,Not OSSable,
59,Netsuite Samsara,online,drag and drop,netsuite_samsara/netsuite_samsara_billing.wacz,Move the KPI Meter box to be above Billing Links,js_matcher,https://4146860-sb1.app.netsuite.com/app/center/card.nl?sc=-100&whence=,"document.querySelector('div[id=""dashboard-column-1""]').children[1].getAttribute('data-portlet-type')=='kpimeter'",,,Sanjari,Not OSSable,
60,Netsuite Samsara,online,dropdown option selection,netsuite_samsara/netsuite_samsara_billing.wacz,Display Billing Operations for 6th March 2025 (Not including 7th),js_matcher,https://4146860-sb1.app.netsuite.com/app/center/card.nl?sc=-100&whence=,document.querySelector('#segment_fs > span.uir-pagination-select > span:nth-child(1)').getHTML()=='3/6/2025(2)',,,Sanjari,Not OSSable,
61,Netsuite Samsara,online,form filling,netsuite_samsara/netsuite_samsara_billing.wacz,Find link 'http://google.com',js_matcher,https://4146860-sb1.app.netsuite.com/app/center/card.nl?sc=-100&whence=,"document.querySelector('input[placeholder=""Find Link...""').value =='http://google.com'",,,Sanjari,Not OSSable,
62,Netsuite Samsara,online,form filling,netsuite_samsara/netsuite_samsara_billing.wacz,Enter 'CA Sales Tax Audit' in search bar. ,js_matcher,https://4146860-sb1.app.netsuite.com/app/center/card.nl?sc=-100&whence=,"document.querySelector('input[id=""uif42_input""').value =='CA Sales Tax Audit'",,,Sanjari,Not OSSable,
63,Netsuite Samsara,online,menu navigation,netsuite_samsara/netsuite_samsara_billing.wacz,Remove the Billing Links widget from the page,js_matcher,https://4146860-sb1.app.netsuite.com/app/center/card.nl?sc=-100&whence=,"document.querySelector('div[id=""dashboard-column-1""]').children.length == 2 && document.querySelector('div[id=""dashboard-column-1""]').children[1].getAttribute('data-portlet-type')=='kpimeter' && document.querySelector('div[id=""dashboard-column-1""]').children[0].getAttribute('data-portlet-type')=='reminders' ",,,Sanjari,,
64,JoinYourNetwork,online,form filling,triwest/triwest.wacz,Enter Institution in Practice Type,js_matcher,https://joinournetwork.triwest.com/,"document.querySelector('select[id=""ddlTypeOfPractice""]').selectedIndex == 3",,,Sanjari,,the axtree doesnt show
65,JoinYourNetwork,online,form filling,triwest/triwest.wacz,Enter '000116666' in Federal Tax ID,js_matcher,https://joinournetwork.triwest.com/,"document.querySelector('input[id=""txtFederalTaxID""]').value == '000116666'",,,Sanjari,,
66,JoinYourNetwork,online,form filling,triwest/triwest.wacz,Enter Institution in Practice Type and check Billing under Multiple TIN,js_matcher,https://joinournetwork.triwest.com/,"document.querySelector('input[id=""chkBillingUnderMultipleTINS""]').checked",,,Sanjari,,
67,JoinYourNetwork,online,form filling,triwest/triwest.wacz,Enter 12345678 in CAQH number,js_matcher,https://joinournetwork.triwest.com/,"document.querySelector('input[id=""txtCAQHNumber""]').value == '12345678'",,,Sanjari,The field has an 8 digit limit. If a human  enters the number it automatically corrects it. ,
68,JoinYourNetwork,online,form filling,triwest/triwest.wacz,Select California as state in Locations Served and select Orange and Santa Clara County in counties served,js_matcher,https://joinournetwork.triwest.com/,"document.querySelector('select[id=""lbCountiesServed""]').selectedOptions.length==2&&document.querySelector('select[id=""lbCountiesServed""]').selectedOptions[0].innerHTML=='ORANGE (CA)' && document.querySelector('select[id=""lbCountiesServed""]').selectedOptions[1].innerHTML=='SANTA CLARA (CA)'&&document.querySelector('select[id=""lbStatesServed""]').selectedIndex==6",,,Sanjari,,
69,JoinYourNetwork,online,form filling,triwest/triwest.wacz,Select No for ACO or PCMH?,js_matcher,https://joinournetwork.triwest.com/,"document.querySelector('select[id=""ddlACOorPCMH""]').selectedIndex ==2",,,Sanjari,,
70,JoinYourNetwork,online,form filling,triwest/triwest.wacz,Enter Institution in Practice Type and Pediatric in Facility Type,js_matcher,https://joinournetwork.triwest.com/,"document.querySelector('select[id=""ddlTypeOfPractice""]').selectedIndex == 3 && document.querySelector('select[id=""ddlFacilityType""]').selectedIndex ==4",,,Sanjari,,
